"","name","address","Phone","website","type1","type2","description","lat","lon"
"28","Lake Phelps-Pettigrew State Park","2252 Lake Shore Road, Creswell, NC 27928",NA,"https://www.ncparks.gov/state-parks/pettigrew-state-park","lake","swimhole","Swimming, boating, fishing, skiing, paddling, kayak","35.792092",-76.40874155
"29","Nantahala Lake","17836 Wayah Road Topton, NC 28781",NA,"https://blueridgeheritagetrail.com/explore-a-trail-of-heritage-treasures/nantahala-lake/","lake","swimhole","Swimming, boating, fishing, skiing, paddling, kayak","35.195478",-83.63949262
"30","Belews Lake","7698 Crossing Ridge Dr, Belews Creek, NC 27009",NA,"https://triadmomsonmain.com/my-blog/day-trip-idea-belews-lake/","lake","swimhole","Swimming, boating, fishing, skiing, paddling, kayak","36.255677",-80.05767056
"31","Roanoke Rapids Lake","100 Oakwood Ave, Roanoke Rapids, NC 27870","(252) 410-6318","https://www.visitnc.com/listing/k6L4/roanoke-rapids-lake-day-use-park","lake","swimhole","Swimming, boating, fishing, wooded trails, playground & picnic shelters.","36.473753",-77.6719549
"32","Kernersville Lake","6408 Old Valley School Rd, Kernersville, NC 27284","(336) 703-2500","https://www.forsyth.cc/parks/KernersvilleLake/","lake","swimhole","Swimming, picnicking, volleyball, and fishing,  playground, hiking","36.155506",-80.09807485
"33","Buddle Creek Swim Area","2882 Holloway Church Rd, Lexington, NC 27292",NA,"https://www.highrocklakelife.com/free-things-to-do","lake","swimhole","Swimming, boating, fishing, hiking","35.682656",-80.22770236
"34","Jones Lake State Park","4117 N.C. 242 N., Elizabethtown, NC 28337","910-588-4550","https://www.ncparks.gov/park-features/jones-lake-state-park","state park","swimhole",NA,"34.683532",-78.59474436
"35","Cliffs Of The Neuse Lake","240 Park Entrance Rd, Seven Springs, NC 28578","(919) 778-6234","https://www.ncparks.gov/state-parks/cliffs-neuse-state-park","state park","swimhole","Swimming, campground, fishing, hiking","35.236074",-77.89150341
"36","Hanging Rock Lake","1790 Hanging Rock Park Rd, Danbury, NC 27016","(336) 593-8480","https://www.ncparks.gov/state-parks/hanging-rock-state-park","state park","swimhole","Swimming, campground, fishing, hiking, boating, rock climing","36.405796",-80.25829694
"37","Fort Macon State Park","2303 E. Fort Macon Road Atlantic Beach, NC 28512","(252) 726-3775","https://www.ncparks.gov/state-parks/fort-macon-state-park","state park","swimhole","Swimming, Hiking, (4 mile), biking (4 miles), paddling, fishing, picnicking","34.695616",-76.6814967
"38","Goose Creek State Park","2190 Camp Leach Road Washington, NC 27889","(252) 923-2191","https://www.ncparks.gov/state-parks/goose-creek-state-park","state park","swimhole","Swimming, beach access (river), camping, hiking, paddling, fishing, picnicking","35.482232",-76.90138379
"39","Falls Lake State Recreation Area  Rolling View Access","4201 Baptist Road Durham, NC 27703","(984) 867-8000","https://www.ncparks.gov/state-parks/falls-lake-state-recreation-area","State Recreation Area","swimhole","Swimming, camping, hiking (25 miles), biking (14 miles), paddling, fishing, picnicking, kayak, canoe, and paddleboard rentals","36.003699",-78.72902318
"40","Falls Lake State Recreation Area  Sandling Access","14601 Creedmoor Road Wake Forest,NC27587","(984) 867-8000","https://www.ncparks.gov/state-parks/falls-lake-state-recreation-area","State Recreation Area","swimhole","Swimming, camping, hiking (25 miles), biking (14 miles), paddling, fishing, picnicking, kayak, canoe, and paddleboard rentals","36.015349",-78.69077208
"41","Fort Fisher State Recreation Area","1000 Loggerhead Road Kure Beach, NC 28449","(910) 458-5798","https://www.ncparks.gov/state-parks/fort-fisher-state-recreation-area","State Recreation Area","swimhole","Swimming, Hiking, (1 mile), four-wheel-drive beach driving, paddling, fishing, picnicking","33.964794",-77.92296063
"42","Fingerlake Day Use Area","NC-28, Bryson City, NC 28713","828-257-4200","https://www.fs.usda.gov/r08/northcarolina/recreation/fingerlake-day-use-area","lake","swimhole",NA,"35.426597",-83.4681326
"43","Cliffside Lake Recreation Area","13908 Highlands Rd, Highlands, NC 28741","(828) 787-1980","https://gofindoutdoors.org/sites/cliffside-lake-van-hook-glade/","lake","swimhole",NA,"35.048259",-83.2227033
"44","Lake Lure Beach And Water Park","2724 Memorial Hwy, Lake Lure, NC 28746","(828) 625-0077","https://lakeluretours.com","lake","swimhole",NA,"35.430019",-82.2289016
"45","Fontana Lake Fingerlake Day Use Area","NC-28, Bryson City, NC 28713",NA,"https://www.explorebrysoncity.com/listing/fingerlake-day-use-area/886/","lake","swimhole","Swim, paddle, primitive boat ramp","35.426597",-83.4681326
"46","Sliding Rock","7851 Pisgah Forest, NC 28768",NA,"https://www.exploreasheville.com/article/sliding-rock-natural-waterslide-near-asheville-nc?utm_source=google&utm_medium=cpc&utm_campaign=MI+Asheville+Search+Dynamic&utm_term=&gad_source=1&gad_campaignid=14160044812&gbraid=0AAAAAD3QfW2XdS1E53vzpwFvD8KmmAWju&gclid=Cj0KCQjwsNnCBhDRARIsAEzia4BLS0017EWHPAVXFziFgzsFgvhmWiTHDXMU2IwX1V1vuxIFeWOgYFoaAuVyEALw_wcB","state park","swimhole","Swimming, hiking, sliding","35.2885",-82.3592
"47","Bust Your Butt Falls","GPS: 35.09275  -83.26650",NA,"https://www.romanticasheville.com/bust-your-butt-falls.htm","water fall","swimhole",NA,"35.09275",-83.2665
